No,Nama Barang,Harga Pasaran (Rp),Harga Jual (Rp),Selisih (Rp),Persentase Markup (%),Kategori Markup
1352,Krim Malam La Mer Moisturizing 60ml,4721384,5556245,834861,17.7,Normal
1353,Coffee Maker Nespresso Vertuo Next,2184882,2722819,537937,24.6,Normal
1354,Laptop ASUS ROG Zephyrus G14,22339288,24789322,2450034,11.0,Normal
1355,Artisan Cokelat KitKat 4 finger,74822,774975,700153,935.8,MARKUP GILA-GILAAN ⚠️
1356,Sepatu Adidas Ultraboost 23,2178401,2322677,144276,6.6,Normal
1357,Apple Watch Series 9,7563683,8351360,787677,10.4,Normal
1358,Rice Cooker Zojirushi 1.8L,2754943,3041662,286719,10.4,Normal
1359,Gold Edition Garam Himalaya 500g,76229,1125141,1048912,1376.0,MARKUP GILA-GILAAN ⚠️
1360,Special Masker medis 3 ply 50pcs,63434,622174,558740,880.8,MARKUP GILA-GILAAN ⚠️
1361,Buku Atomic Habits James Clear,96437,111045,14608,15.1,Normal
1362,Exclusive Lem Kertas UHU 21g,31185,162226,131041,420.2,MARKUP GILA-GILAAN ⚠️
1363,Dashcam Viofo A129 Pro Duo,2152634,2317181,164547,7.6,Normal
1364,Blush On NARS Orgasm,474232,567502,93270,19.7,Normal
1365,Air Fryer Philips 7L HD9270,1516702,1892567,375865,24.8,Normal
1366,Special Masker medis 3 ply 50pcs,7602,41051,33449,440.0,MARKUP GILA-GILAAN ⚠️
1367,OPPO Find X7 Ultra,14335322,17877643,3542321,24.7,Normal
1368,Xiaomi 14 Pro,11490243,12291450,801207,7.0,Normal
1369,Oli Mesin Castrol Edge 5W-40 4L,266919,327830,60911,22.8,Normal
1370,Artisan Obat Paracetamol 500mg strip,73448,1035090,961642,1309.3,MARKUP GILA-GILAAN ⚠️
1371,Gold Edition Sabun Cuci Piring biasa 800ml,56729,852551,795822,1402.8,MARKUP GILA-GILAAN ⚠️
1372,Tas Louis Vuitton Neverfull MM,36446405,38626027,2179622,6.0,Normal
1373,Blush On NARS Orgasm,464953,520659,55706,12.0,Normal
1374,Salmon Sashimi Grade 500g,279683,324367,44684,16.0,Normal
1375,Caviar Beluga 30g,2664060,3110391,446331,16.8,Normal
1376,Realme GT5 Pro,7647098,9186059,1538961,20.1,Normal
1377,iPhone 15 Pro Max 256GB,22028300,24232077,2203777,10.0,Normal
1378,Dell XPS 15 9530,25411413,30923612,5512199,21.7,Normal
1379,Air Fryer Philips 7L HD9270,1475163,1762209,287046,19.5,Normal
1380,Premium Beras Putih Premium 1kg,76684,348367,271683,354.3,MARKUP GILA-GILAAN ⚠️
1381,iPad Pro 12.9 inch M2,18553408,21894486,3341078,18.0,Normal
1382,Protein Whey Optimum Nutrition 5lb,719741,860933,141192,19.6,Normal
1383,GoPro Hero 12 Black,5769942,6366418,596476,10.3,Normal
1384,Gold Edition Air Kelapa kemasan 330ml,23175,133735,110560,477.1,MARKUP GILA-GILAAN ⚠️
1385,Jam Tangan Casio G-Shock GA700,1169900,1282649,112749,9.6,Normal
1386,Luxury Sabun Cuci Piring biasa 800ml,76345,349109,272764,357.3,MARKUP GILA-GILAAN ⚠️
1387,Exclusive Hand Sanitizer 100ml,62721,890602,827881,1319.9,MARKUP GILA-GILAAN ⚠️
1388,Serum Vitamin C Skinceuticals CE Ferulic,2247234,2599553,352319,15.7,Normal
1389,Lipstik Charlotte Tilbury Pillowtalk,437861,523713,85852,19.6,Normal
1390,Jam Tangan Rolex Submariner,145221599,169755121,24533522,16.9,Normal
1391,Micellar Water Bioderma 500ml,219700,266422,46722,21.3,Normal
1392,Parfum Dior Sauvage 100ml,2842677,3546814,704137,24.8,Normal
1393,Ikat Pinggang Hermes,12240697,14480830,2240133,18.3,Normal
1394,Earphone TWS Sony WF-1000XM5,3659086,4099516,440430,12.0,Normal
1395,Protein Bar Quest Nutrition Box 12,343497,376721,33224,9.7,Normal
1396,Exclusive Garam Himalaya 500g,21111,325119,304008,1440.0,MARKUP GILA-GILAAN ⚠️
1397,Robot Vacuum Cleaner Roomba j7+,8506380,8963534,457154,5.4,Normal
1398,Limited Cokelat KitKat 4 finger,43340,583815,540475,1247.1,MARKUP GILA-GILAAN ⚠️
1399,Router WiFi 6 ASUS AX6000,3340724,4119474,778750,23.3,Normal
1400,iPad Pro 12.9 inch M2,17265186,18565020,1299834,7.5,Normal
1401,Granola Organic Uncle Tobys 500g,96989,108068,11079,11.4,Normal
1402,Mesin Espresso De'Longhi La Specialista,12006600,13936606,1930006,16.1,Normal
1403,Buku Zero to One Peter Thiel,89628,103273,13645,15.2,Normal
1404,Protein Whey Optimum Nutrition 5lb,769709,928681,158972,20.7,Normal
1405,Syal Burberry Classic Check,4934036,5540560,606524,12.3,Normal
1406,Buku Zero to One Peter Thiel,91120,106218,15098,16.6,Normal
1407,Topi Snapback New Era,480534,522769,42235,8.8,Normal
1408,Tas Gucci Marmont,28189276,29994288,1805012,6.4,Normal
1409,Earphone TWS Sony WF-1000XM5,3423165,3722189,299024,8.7,Normal
1410,Exclusive Beras Putih Premium 1kg,68107,373654,305547,448.6,MARKUP GILA-GILAAN ⚠️
1411,Microwave Sharp 27L,1225810,1504274,278464,22.7,Normal
1412,OPPO Find X7 Ultra,14703626,16459972,1756346,11.9,Normal
1413,Coffee Maker Nespresso Vertuo Next,2262237,2637611,375374,16.6,Normal
1414,Jaket North Face Nuptse,4564581,5363824,799243,17.5,Normal
1415,VIP Keripik Kentang Lays Original 75g,69791,307389,237598,340.4,MARKUP GILA-GILAAN ⚠️
1416,Salmon Sashimi Grade 500g,288541,350989,62448,21.6,Normal
1417,Buku Sapiens Yuval Noah Harari,113364,139577,26213,23.1,Normal
1418,Ultra Garam Himalaya 500g,71050,757531,686481,966.2,MARKUP GILA-GILAAN ⚠️
1419,Nintendo Switch OLED,4589932,4857323,267391,5.8,Normal
1420,Serum Rambut Pantene 70ml,81008,93716,12708,15.7,Normal
1421,Micellar Water Bioderma 500ml,213702,262787,49085,23.0,Normal
1422,Buku Thinking Fast and Slow,102671,109497,6826,6.6,Normal
1423,Artisan Keripik Kentang Lays Original 75g,28037,224644,196607,701.2,MARKUP GILA-GILAAN ⚠️
1424,Artisan Masker medis 3 ply 50pcs,25831,233932,208101,805.6,MARKUP GILA-GILAAN ⚠️
1425,Alarm Mobil Clifford 350X,1818219,2066126,247907,13.6,Normal
1426,DJI Mini 4 Pro Drone,11523793,13181679,1657886,14.4,Normal
1427,Krim Malam La Mer Moisturizing 60ml,4495902,5358907,863005,19.2,Normal
1428,Barbel Set 20kg Body Gym,828046,869913,41867,5.1,Normal
1429,Earphone TWS Sony WF-1000XM5,3663228,4396074,732846,20.0,Normal
1430,Luxury Beras Putih Premium 1kg,40231,388091,347860,864.7,MARKUP GILA-GILAAN ⚠️
1431,Portable Charger Anker 26800mAh,603781,704708,100927,16.7,Normal
1432,Artisan Obat Paracetamol 500mg strip,26612,272603,245991,924.4,MARKUP GILA-GILAAN ⚠️
1433,Kamus Bahasa Inggris Oxford Advanced,238708,272887,34179,14.3,Normal
1434,Realme GT5 Pro,7881824,9207458,1325634,16.8,Normal
1435,Special Lem Kertas UHU 21g,15490,187552,172062,1110.8,MARKUP GILA-GILAAN ⚠️
1436,Anggur Red Wine Bordeaux,675654,733684,58030,8.6,Normal
1437,iPad Pro 12.9 inch M2,18271327,21330299,3058972,16.7,Normal
1438,Exclusive Garam Himalaya 500g,41307,530294,488987,1183.8,MARKUP GILA-GILAAN ⚠️
1439,Toner Some By Mi AHA BHA PHA,186932,210846,23914,12.8,Normal
1440,Buku Zero to One Peter Thiel,89404,109970,20566,23.0,Normal
1441,Vacuum Cleaner Dyson V15 Detect,9497398,11041412,1544014,16.3,Normal
1442,Router WiFi 6 ASUS AX6000,3577344,4309701,732357,20.5,Normal
1443,OPPO Find X7 Ultra,14942218,17351760,2409542,16.1,Normal
1444,Granola Organic Uncle Tobys 500g,93150,104883,11733,12.6,Normal
1445,Artisan Selotip bening 1 roll,36085,533013,496928,1377.1,MARKUP GILA-GILAAN ⚠️
1446,Samsung Galaxy Watch 6,4613246,5110104,496858,10.8,Normal
1447,Lipstik Charlotte Tilbury Pillowtalk,432912,519695,86783,20.0,Normal
1448,GPS Tracker Concox GT06N,470073,560148,90075,19.2,Normal
1449,Laptop ASUS ROG Zephyrus G14,22423469,24118795,1695326,7.6,Normal
1450,Gold Edition Kapas Kecantikan biasa 100pcs,19944,186897,166953,837.1,MARKUP GILA-GILAAN ⚠️
1451,Samsung Galaxy Watch 6,4592850,5079815,486965,10.6,Normal
1452,Saus Truffle Urbani 180g,348538,383938,35400,10.2,Normal
1453,Buku The Psychology of Money,92730,102883,10153,10.9,Normal
1454,Celana Jeans Levi's 501,894861,960236,65375,7.3,Normal
1455,Microwave Sharp 27L,1142949,1363667,220718,19.3,Normal
1456,Teh Darjeeling FTGFOP1 100g,283952,305533,21581,7.6,Normal
1457,Selai Kacang Skippy Chunky 462g,83735,95911,12176,14.5,Normal
1458,Exclusive Beras Putih Premium 1kg,14901,79800,64899,435.5,MARKUP GILA-GILAAN ⚠️
1459,Dompet Coach Crossgrain Leather,2211525,2530522,318997,14.4,Normal
1460,Wagyu A5 Beef 300g,721637,766436,44799,6.2,Normal
1461,Ultra Hand Sanitizer 100ml,75465,952489,877024,1162.2,MARKUP GILA-GILAAN ⚠️
1462,Canon EOS R6 Mark II,39760338,42745144,2984806,7.5,Normal
1463,Krim Malam La Mer Moisturizing 60ml,4717197,5406725,689528,14.6,Normal
1464,PlayStation 5 Digital Edition,8362658,10413611,2050953,24.5,Normal
1465,Baju Renang Speedo Fastskin,884796,1002915,118119,13.3,Normal
1466,Air Fryer Philips 7L HD9270,1570463,1850206,279743,17.8,Normal
1467,Laptop Lenovo ThinkPad X1 Carbon,26791813,32710796,5918983,22.1,Normal
1468,iPhone 15 Pro Max 256GB,22298690,24588285,2289595,10.3,Normal
1469,Toner Some By Mi AHA BHA PHA,173798,214624,40826,23.5,Normal
1470,Baju Renang Speedo Fastskin,824321,1026829,202508,24.6,Normal
1471,Organic Pulpen Pilot G2 0.5mm,27513,315969,288456,1048.4,MARKUP GILA-GILAAN ⚠️
1472,Exclusive Kapas Kecantikan biasa 100pcs,21484,140485,119001,553.9,MARKUP GILA-GILAAN ⚠️
1473,Mixer KitchenAid Artisan 4.8L,9644451,10924060,1279609,13.3,Normal
1474,Jaket North Face Nuptse,4467670,4892176,424506,9.5,Normal
1475,Tas Gucci Marmont,28385993,30826228,2440235,8.6,Normal
1476,Coffee Maker Nespresso Vertuo Next,2182778,2650220,467442,21.4,Normal
1477,Pelembab Cetaphil 250ml,149610,162088,12478,8.3,Normal
1478,Hoodie Supreme Box Logo,7837493,9482918,1645425,21.0,Normal
1479,Treadmill NordicTrack Commercial 2950,28847348,34973577,6126229,21.2,Normal
1480,Shampo Kerastase Bain Satin 250ml,346087,396636,50549,14.6,Normal
1481,Parfum Mobil Areon Mon Black Crystal,125552,140890,15338,12.2,Normal
1482,Barbel Set 20kg Body Gym,817935,939703,121768,14.9,Normal
1483,Serum Vitamin C Skinceuticals CE Ferulic,2222784,2752609,529825,23.8,Normal
1484,Raket Badminton Yonex Astrox 99,3238479,3410353,171874,5.3,Normal
1485,Kacamata Rayban Wayfarer,2382502,2977319,594817,25.0,Normal
1486,Teh Darjeeling FTGFOP1 100g,284537,341365,56828,20.0,Normal
1487,Salmon Sashimi Grade 500g,267190,332834,65644,24.6,Normal
1488,Nintendo Switch OLED,4305657,4655754,350097,8.1,Normal
1489,Shampo Kerastase Bain Satin 250ml,338955,373578,34623,10.2,Normal
1490,Novel Harry Potter Complete Set,862380,916782,54402,6.3,Normal
1491,Kompor Tanam Rinnai 4 Tungku,3618323,3855616,237293,6.6,Normal
1492,Sepeda Statis Peloton Bike+,24526795,28614663,4087868,16.7,Normal
1493,Premium Tisu Makan Premium 200 lembar,75519,757722,682203,903.4,MARKUP GILA-GILAAN ⚠️
1494,Blender Vitamix 5200,5919036,7346675,1427639,24.1,Normal
1495,Xbox Series X,7736884,8680312,943428,12.2,Normal
1496,Dompet Coach Crossgrain Leather,2243929,2404064,160135,7.1,Normal
1497,Oli Mesin Castrol Edge 5W-40 4L,290750,358584,67834,23.3,Normal
1498,Foundation MAC Studio Fix Fluid,580713,679847,99134,17.1,Normal
1499,Matras Yoga Manduka PRO 6mm,1718979,1990955,271976,15.8,Normal
1500,Jam Tangan Rolex Submariner,153064765,169277878,16213113,10.6,Normal
1501,Exclusive Tisu Makan Premium 200 lembar,22750,250160,227410,999.6,MARKUP GILA-GILAAN ⚠️
1502,Premium Beras Putih Premium 1kg,15462,171631,156169,1010.0,MARKUP GILA-GILAAN ⚠️
1503,Artisan Obat Paracetamol 500mg strip,70695,454652,383957,543.1,MARKUP GILA-GILAAN ⚠️
1504,Organic Hand Sanitizer 100ml,77460,1144903,1067443,1378.1,MARKUP GILA-GILAAN ⚠️
1505,Pasta Barilla Linguine 500g,44484,47918,3434,7.7,Normal
1506,Kaos Uniqlo UT Collab,255520,273355,17835,7.0,Normal
1507,SSD Samsung 980 Pro 2TB,2907826,3408960,501134,17.2,Normal
1508,Artisan Garam Himalaya 500g,16776,95306,78530,468.1,MARKUP GILA-GILAAN ⚠️
1509,iPhone 15 Pro Max 256GB,22901401,25582713,2681312,11.7,Normal
1510,Special Sabun Cuci Piring biasa 800ml,7138,81168,74030,1037.1,MARKUP GILA-GILAAN ⚠️
1511,AC Daikin Inverter 1.5 PK,5231625,6017314,785689,15.0,Normal
1512,Masker Rambut Olaplex No.8 100ml,366022,447717,81695,22.3,Normal
1513,Samsung 65 inch QLED TV,16150858,18192809,2041951,12.6,Normal
1514,Special Beras Putih Premium 1kg,63297,609435,546138,862.8,MARKUP GILA-GILAAN ⚠️
1515,Special Selotip bening 1 roll,10942,74620,63678,582.0,MARKUP GILA-GILAAN ⚠️
1516,Whisky Johnnie Walker Blue Label,1520633,1648369,127736,8.4,Normal
1517,Suplemen Vitamin C 1000mg 100 Tab,118391,127695,9304,7.9,Normal
1518,Sepatu Running Brooks Ghost 15,1911296,2374594,463298,24.2,Normal
1519,Serum Rambut Pantene 70ml,87406,94572,7166,8.2,Normal
1520,Wagyu A5 Beef 300g,772856,832542,59686,7.7,Normal
1521,Toner Some By Mi AHA BHA PHA,181744,209212,27468,15.1,Normal
1522,Hoodie Supreme Box Logo,8078902,8859125,780223,9.7,Normal
1523,Organic Lem Kertas UHU 21g,79754,923188,843434,1057.5,MARKUP GILA-GILAAN ⚠️
1524,GoPro Hero 12 Black,5918686,6650448,731762,12.4,Normal
1525,PlayStation 5 Digital Edition,8165402,10109866,1944464,23.8,Normal
1526,Exclusive Lem Kertas UHU 21g,16498,74338,57840,350.6,MARKUP GILA-GILAAN ⚠️
1527,Canon EOS R6 Mark II,37473194,41263673,3790479,10.1,Normal
1528,Laptop ASUS ROG Zephyrus G14,23148941,24401029,1252088,5.4,Normal
1529,Xiaomi 14 Pro,12338818,15254073,2915255,23.6,Normal
1530,Sabun Muka CeraVe Hydrating Cleanser,193510,217436,23926,12.4,Normal
1531,Gold Edition Minuman Teh Kotak 200ml,42219,388814,346595,820.9,MARKUP GILA-GILAAN ⚠️
1532,VIP Garam Himalaya 500g,53277,261688,208411,391.2,MARKUP GILA-GILAAN ⚠️
1533,Kemeja Polo Ralph Lauren,1546335,1742171,195836,12.7,Normal
1534,Air Fryer Philips 7L HD9270,1508227,1618533,110306,7.3,Normal
1535,Krim Malam La Mer Moisturizing 60ml,4477436,5015777,538341,12.0,Normal
1536,Lipstik Charlotte Tilbury Pillowtalk,467420,543884,76464,16.4,Normal
1537,Toaster Oven Breville BOV900BSS,5468637,6487635,1018998,18.6,Normal
1538,Special Air Mineral Premium 500ml,10276,156665,146389,1424.6,MARKUP GILA-GILAAN ⚠️
1539,Jam Tangan Rolex Submariner,157401532,166578606,9177074,5.8,Normal
1540,Premium Air Mineral Premium 500ml,25468,188428,162960,639.9,MARKUP GILA-GILAAN ⚠️
1541,Jaket North Face Nuptse,4694580,5690661,996081,21.2,Normal
1542,Buku Masak Gordon Ramsay Ultimate Cookery,457621,502722,45101,9.9,Normal
1543,Realme GT5 Pro,8018301,9065825,1047524,13.1,Normal
1544,Sirup Monin Premium 700ml,121657,142746,21089,17.3,Normal
1545,Air Fryer Philips 7L HD9270,1455855,1773966,318111,21.9,Normal
1546,Buku Matematika Kumon Grade 7,64906,75715,10809,16.7,Normal
1547,Luxury Pulpen Pilot G2 0.5mm,34607,482280,447673,1293.6,MARKUP GILA-GILAAN ⚠️
1548,Gold Edition Cotton Bud biasa 200pcs,40766,287689,246923,605.7,MARKUP GILA-GILAAN ⚠️
1549,Minyak Zaitun Extra Virgin 1L,144932,171578,26646,18.4,Normal
1550,Minyak Zaitun Extra Virgin 1L,144855,159525,14670,10.1,Normal
1551,Baju Renang Speedo Fastskin,826996,967428,140432,17.0,Normal
1552,Sepatu Vans Old Skool,853895,948635,94740,11.1,Normal
1553,Router WiFi 6 ASUS AX6000,3646054,4502902,856848,23.5,Normal
1554,Ban Bridgestone Ecopia 195/65 R15,927298,1073882,146584,15.8,Normal
1555,Laptop Lenovo ThinkPad X1 Carbon,27614969,31811763,4196794,15.2,Normal
1556,Mesin Cuci Samsung Front Load 9kg,5503134,6023680,520546,9.5,Normal
1557,RAM Corsair Vengeance 32GB DDR5,2444026,2660846,216820,8.9,Normal
1558,Rice Cooker Zojirushi 1.8L,2921417,3327797,406380,13.9,Normal
1559,Canon EOS R6 Mark II,37907329,47367506,9460177,25.0,Normal
1560,Organic Air Kelapa kemasan 330ml,66274,627921,561647,847.5,MARKUP GILA-GILAAN ⚠️
1561,Luxury Air Mineral Premium 500ml,36386,428259,391873,1077.0,MARKUP GILA-GILAAN ⚠️
1562,Portable Charger Anker 26800mAh,614020,690082,76062,12.4,Normal
1563,Mixer KitchenAid Artisan 4.8L,9458185,10266489,808304,8.5,Normal
1564,Mesin Cuci Samsung Front Load 9kg,5470928,5756583,285655,5.2,Normal
1565,Sirup Monin Premium 700ml,120887,147108,26221,21.7,Normal
1566,Pasta Barilla Linguine 500g,43613,50398,6785,15.6,Normal
1567,Canon EOS R6 Mark II,38702833,45279176,6576343,17.0,Normal
1568,Limited Lem Kertas UHU 21g,17656,121020,103364,585.4,MARKUP GILA-GILAAN ⚠️
1569,Special Tisu Makan Premium 200 lembar,56127,698066,641939,1143.7,MARKUP GILA-GILAAN ⚠️
1570,Sepatu Running Brooks Ghost 15,1888600,1983830,95230,5.0,Normal
1571,Tas Louis Vuitton Neverfull MM,33492284,38992729,5500445,16.4,Normal
1572,Baju Batik Danar Hadi Premium,777591,893252,115661,14.9,Normal
1573,Shampo Kerastase Bain Satin 250ml,333008,352946,19938,6.0,Normal
1574,Buku The Psychology of Money,93223,113209,19986,21.4,Normal
1575,Micellar Water Bioderma 500ml,211906,262315,50409,23.8,Normal
1576,Nintendo Switch OLED,4599367,5403504,804137,17.5,Normal
1577,Protein Bar Quest Nutrition Box 12,361781,408842,47061,13.0,Normal
1578,Serum Rambut Pantene 70ml,84205,91770,7565,9.0,Normal
1579,Sepatu Nike Air Jordan 1 High,2550764,2901302,350538,13.7,Normal
1580,Buku Atomic Habits James Clear,99333,111147,11814,11.9,Normal
1581,Lipstik Charlotte Tilbury Pillowtalk,463819,489141,25322,5.5,Normal
1582,Sepatu Formal Clarks Desert Boot,1770041,1934290,164249,9.3,Normal
1583,iPad Pro 12.9 inch M2,18112209,21978023,3865814,21.3,Normal
1584,Sunscreen Anessa Perfect UV 60ml,277986,343274,65288,23.5,Normal
1585,Buku Thinking Fast and Slow,99824,121155,21331,21.4,Normal
1586,Minyak Zaitun Extra Virgin 1L,149807,176391,26584,17.7,Normal
1587,VIP Penggaris 30cm plastik,13340,187203,173863,1303.3,MARKUP GILA-GILAAN ⚠️
1588,Toaster Oven Breville BOV900BSS,5253353,5859031,605678,11.5,Normal
1589,Luxury Buku Tulis A5 biasa,76222,592468,516246,677.3,MARKUP GILA-GILAAN ⚠️
1590,VIP Buku Tulis A5 biasa,48793,265433,216640,444.0,MARKUP GILA-GILAAN ⚠️
1591,Protein Bar Quest Nutrition Box 12,346418,372959,26541,7.7,Normal
1592,Minyak Zaitun Extra Virgin 1L,155592,168058,12466,8.0,Normal
1593,Exclusive Air Mineral Premium 500ml,65300,402356,337056,516.2,MARKUP GILA-GILAAN ⚠️
1594,Mesin Espresso De'Longhi La Specialista,11970373,14439625,2469252,20.6,Normal
1595,Madu Manuka UMF 20+ 500g,877419,960165,82746,9.4,Normal
1596,Karpet Mobil Universal All New,344230,429560,85330,24.8,Normal
1597,Sunscreen Anessa Perfect UV 60ml,274960,319295,44335,16.1,Normal
1598,Ultra Keripik Kentang Lays Original 75g,25585,226738,201153,786.2,MARKUP GILA-GILAAN ⚠️
1599,iPhone 15 Pro Max 256GB,21718925,25158444,3439519,15.8,Normal
1600,Kemeja Polo Ralph Lauren,1546318,1783587,237269,15.3,Normal
1601,Kaos Uniqlo UT Collab,258951,276885,17934,6.9,Normal
1602,Lipstik Charlotte Tilbury Pillowtalk,447353,482228,34875,7.8,Normal
1603,Router WiFi 6 ASUS AX6000,3341932,4175075,833143,24.9,Normal
1604,Sony WH-1000XM5 Headphone,4663301,5172965,509664,10.9,Normal
1605,Ultra Air Mineral Premium 500ml,70524,807562,737038,1045.1,MARKUP GILA-GILAAN ⚠️
1606,Kulkas Samsung Side by Side 700L,18842079,21677471,2835392,15.0,Normal
1607,Car Audio Pioneer MVH-S215BT,875159,995799,120640,13.8,Normal
1608,Novel Harry Potter Complete Set,892215,1014168,121953,13.7,Normal
1609,Anggur Red Wine Bordeaux,640083,772884,132801,20.7,Normal
1610,Parfum Chanel No. 5 100ml,3549008,3746495,197487,5.6,Normal
1611,Xiaomi 14 Pro,12232417,14799248,2566831,21.0,Normal
1612,Exclusive Air Mineral Premium 500ml,65510,493158,427648,652.8,MARKUP GILA-GILAAN ⚠️
1613,Gold Edition Selotip bening 1 roll,34850,434455,399605,1146.6,MARKUP GILA-GILAAN ⚠️
1614,Shampo Kerastase Bain Satin 250ml,365428,441048,75620,20.7,Normal
1615,Minyak Zaitun Extra Virgin 1L,150004,181381,31377,20.9,Normal
1616,Mesin Espresso De'Longhi La Specialista,11802104,13492212,1690108,14.3,Normal
1617,Mesin Espresso De'Longhi La Specialista,12100818,13001495,900677,7.4,Normal
1618,Laptop Lenovo ThinkPad X1 Carbon,28720195,31727136,3006941,10.5,Normal
1619,Kamus Bahasa Inggris Oxford Advanced,245816,301481,55665,22.6,Normal
1620,Laptop Lenovo ThinkPad X1 Carbon,27860676,33258618,5397942,19.4,Normal
1621,Artisan Selotip bening 1 roll,75774,1104822,1029048,1358.0,MARKUP GILA-GILAAN ⚠️
1622,Car Audio Pioneer MVH-S215BT,815975,979390,163415,20.0,Normal
1623,Masker Rambut Olaplex No.8 100ml,370225,421783,51558,13.9,Normal
1624,Robot Vacuum Cleaner Roomba j7+,8178544,10119197,1940653,23.7,Normal
1625,Masker Rambut Olaplex No.8 100ml,390966,457314,66348,17.0,Normal
1626,Ultra Garam Himalaya 500g,72998,1029202,956204,1309.9,MARKUP GILA-GILAAN ⚠️
1627,Caviar Beluga 30g,2745764,3260665,514901,18.8,Normal
1628,Baju Renang Speedo Fastskin,866594,1001744,135150,15.6,Normal
1629,Limited Pulpen Pilot G2 0.5mm,65964,672779,606815,919.9,MARKUP GILA-GILAAN ⚠️
1630,Mesin Cuci Samsung Front Load 9kg,5307220,5627297,320077,6.0,Normal
1631,Samsung 65 inch QLED TV,15770973,17224106,1453133,9.2,Normal
1632,Matras Yoga Manduka PRO 6mm,1827958,1932194,104236,5.7,Normal
1633,Whisky Johnnie Walker Blue Label,1496765,1578368,81603,5.5,Normal
1634,Premium Pulpen Pilot G2 0.5mm,5661,61139,55478,980.0,MARKUP GILA-GILAAN ⚠️
1635,Premium Keripik Kentang Lays Original 75g,39432,376956,337524,856.0,MARKUP GILA-GILAAN ⚠️
1636,Artisan Pulpen Pilot G2 0.5mm,30234,125974,95740,316.7,MARKUP GILA-GILAAN ⚠️
1637,Toaster Oven Breville BOV900BSS,5442606,5902184,459578,8.4,Normal
1638,Serum Vitamin C Skinceuticals CE Ferulic,2143270,2383208,239938,11.2,Normal
1639,Keyboard Mechanical Keychron Q1,2127865,2386645,258780,12.2,Normal
1640,Sepatu Running Brooks Ghost 15,1900404,2178474,278070,14.6,Normal
1641,Organic Minuman Teh Kotak 200ml,46962,713317,666355,1418.9,MARKUP GILA-GILAAN ⚠️
1642,Saus Truffle Urbani 180g,367158,423443,56285,15.3,Normal
1643,Limited Beras Putih Premium 1kg,26257,229033,202776,772.3,MARKUP GILA-GILAAN ⚠️
1644,Champagne Moet & Chandon 750ml,972145,1197394,225249,23.2,Normal
1645,Nintendo Switch OLED,4502923,5059276,556353,12.4,Normal
1646,Vacuum Cleaner Dyson V15 Detect,9305456,10685883,1380427,14.8,Normal
1647,Organic Minuman Teh Kotak 200ml,66636,717316,650680,976.5,MARKUP GILA-GILAAN ⚠️
1648,Portable Charger Anker 26800mAh,614889,742720,127831,20.8,Normal
1649,Cover Mobil All New Silver,490420,591522,101102,20.6,Normal
1650,Exclusive Beras Putih Premium 1kg,9137,91425,82288,900.6,MARKUP GILA-GILAAN ⚠️
1651,Mouse Logitech MX Master 3,1563660,1643352,79692,5.1,Normal
1652,Artisan Penggaris 30cm plastik,63455,795205,731750,1153.2,MARKUP GILA-GILAAN ⚠️
1653,Laptop Lenovo ThinkPad X1 Carbon,27570139,30569577,2999438,10.9,Normal
1654,Luxury Buku Tulis A5 biasa,26014,154461,128447,493.8,MARKUP GILA-GILAAN ⚠️
1655,Matras Yoga Manduka PRO 6mm,1836196,2000219,164023,8.9,Normal
1656,Luxury Kapas Kecantikan biasa 100pcs,49433,277662,228229,461.7,MARKUP GILA-GILAAN ⚠️
1657,Earphone TWS Sony WF-1000XM5,3622068,4484685,862617,23.8,Normal
1658,Car Audio Pioneer MVH-S215BT,850306,1006153,155847,18.3,Normal
1659,DJI Mini 4 Pro Drone,10718419,11562377,843958,7.9,Normal
1660,Suplemen Vitamin C 1000mg 100 Tab,121053,137861,16808,13.9,Normal
1661,Matras Yoga Manduka PRO 6mm,1812408,1905813,93405,5.2,Normal
1662,Body Lotion Bath & Body Works,349730,428426,78696,22.5,Normal
1663,GPS Tracker Concox GT06N,467513,555021,87508,18.7,Normal
1664,Xiaomi 14 Pro,12196450,15061675,2865225,23.5,Normal
1665,Minyak Zaitun Extra Virgin 1L,149938,169602,19664,13.1,Normal
1666,Keyboard Mechanical Keychron Q1,2309463,2836813,527350,22.8,Normal
1667,Exclusive Keripik Kentang Lays Original 75g,25047,199827,174780,697.8,MARKUP GILA-GILAAN ⚠️
1668,Deodorant Dove Original 150ml,45802,49980,4178,9.1,Normal
1669,Buku Sapiens Yuval Noah Harari,116961,144511,27550,23.6,Normal
1670,Helm Sepeda Giro Aether MIPS,4363868,4859353,495485,11.4,Normal
1671,Organic Air Mineral Premium 500ml,34141,544500,510359,1494.9,MARKUP GILA-GILAAN ⚠️
1672,Sony WH-1000XM5 Headphone,4367151,4887061,519910,11.9,Normal
1673,Body Lotion Bath & Body Works,352857,439449,86592,24.5,Normal
1674,Parfum Dior Sauvage 100ml,2820112,3314396,494284,17.5,Normal
1675,Robot Vacuum Cleaner Roomba j7+,8510374,9758426,1248052,14.7,Normal
1676,Artisan Air Mineral Premium 500ml,51325,723654,672329,1309.9,MARKUP GILA-GILAAN ⚠️
1677,Ultra Tisu Makan Premium 200 lembar,13607,102986,89379,656.9,MARKUP GILA-GILAAN ⚠️
1678,Ikat Pinggang Hermes,11591441,12768403,1176962,10.2,Normal
